"FilePath","Component","MissingImport"
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\dashboard\components\AttendanceChart.tsx","Tooltip","import { Tooltip } from ""@/components/ui/tooltip"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\dashboard\components\AttendanceTrendChart.tsx","Tooltip","import { Tooltip } from ""@/components/ui/tooltip"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\dashboard\components\DailyBreakdownStackedBar.tsx","Tooltip","import { Tooltip } from ""@/components/ui/tooltip"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\dashboard\components\StatInsightCard.tsx","Tooltip","import { Tooltip } from ""@/components/ui/tooltip"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\employees\components\EmployeeDrawer.tsx","Textarea","import { Textarea } from ""@/components/ui/textarea"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\hr-forms\pages\MyFormFillPage.tsx","Textarea","import { Textarea } from ""@/components/ui/textarea"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\recruitment\pages\MyInterviewAssignmentsPage.tsx","Textarea","import { Textarea } from ""@/components/ui/textarea"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\docs\pages\EmployeeBulkUploadDocs.tsx","Table","import { Table } from ""@/components/ui/table"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\docs\pages\FirstAdminLoginDocs.tsx","Table","import { Table } from ""@/components/ui/table"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\employees\components\BulkImportDialog.tsx","Table","import { Table } from ""@/components/ui/table"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\employees\components\EmployeeDrawer.tsx","Table","import { Table } from ""@/components/ui/table"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\payroll\pages\PayrollSettings.tsx","Table","import { Table } from ""@/components/ui/table"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\recruitment\pages\MyInterviewAssignmentsPage.tsx","Table","import { Table } from ""@/components/ui/table"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\employees\components\EmployeeDrawer.tsx","Label","import { Label } from ""@/components/ui/label"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\hr-forms\pages\MyFormFillPage.tsx","Label","import { Label } from ""@/components/ui/label"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\leaves\components\EmployeeCreditsTable.tsx","Label","import { Label } from ""@/components/ui/label"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\payroll\pages\PayrollSettings.tsx","Label","import { Label } from ""@/components/ui/label"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\permissions\pages\UserPermissionsPage.tsx","Label","import { Label } from ""@/components/ui/label"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\recruitment\pages\MyInterviewAssignmentsPage.tsx","Label","import { Label } from ""@/components/ui/label"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\reports\pages\ReportsPage.tsx","Label","import { Label } from ""@/components/ui/label"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\settings\components\AttendanceSettings.tsx","Label","import { Label } from ""@/components/ui/label"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\settings\components\PayRulesSettings.tsx","Label","import { Label } from ""@/components/ui/label"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\calendar\pages\Calendar.tsx","Input","import { Input } from ""@/components/ui/Input"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\employees\components\BulkImportDialog.tsx","Input","import { Input } from ""@/components/ui/Input"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\employees\components\EmployeeDrawer.tsx","Input","import { Input } from ""@/components/ui/Input"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\hr-forms\pages\MyFormFillPage.tsx","Input","import { Input } from ""@/components/ui/Input"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\hr-policies\components\RichTextEditor.tsx","Input","import { Input } from ""@/components/ui/Input"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\payroll\components\FinalPayTable.tsx","Input","import { Input } from ""@/components/ui/Input"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\settings\components\AttendanceSettings.tsx","Input","import { Input } from ""@/components/ui/Input"""
"C:\Users\MCF-JOHNELLEEMPUERTO\Documents\Johnell\Attendance System\Frontend\src\features\settings\components\PayRulesSettings.tsx","Input","import { Input } from ""@/components/ui/Input"""
